date,scheme,basis,contract,category,long,short,spread,net,net_chg,pctile,z,traders_long,traders_short,oi
2006-06-13,disagg,combined,gold,prod_merc,42587,128892,,-86305,,,,23,28,382474
2006-06-13,disagg,combined,gold,swap,19370,66611,22998,-47241,,,,10,12,382474
2006-06-13,disagg,combined,gold,m_money,103211,30916,46704,72295,,,,64,16,382474
2006-06-13,disagg,combined,gold,other_rept,33230,10656,58412,22574,,,,92,33,382474
2006-06-13,disagg,combined,gold,nonrept,55961,17284,,38677,,,,,,382474
2006-06-20,disagg,combined,gold,prod_merc,47440,126992,,-79552,6753,,,23,25,390281
2006-06-20,disagg,combined,gold,swap,22404,64682,25806,-42278,4963,,,10,13,390281
2006-06-20,disagg,combined,gold,m_money,94632,30963,48730,63669,-8626,,,54,19,390281
2006-06-20,disagg,combined,gold,other_rept,32947,11142,64458,21805,-769,,,97,30,390281
2006-06-20,disagg,combined,gold,nonrept,53864,17507,,36357,-2320,,,,,390281
2006-06-27,disagg,combined,gold,prod_merc,48449,121890,,-73441,6111,,,23,25,384321
2006-06-27,disagg,combined,gold,swap,22425,62640,25151,-40215,2063,,,9,12,384321
2006-06-27,disagg,combined,gold,m_money,91042,32287,49614,58755,-4914,,,48,23,384321
2006-06-27,disagg,combined,gold,other_rept,31307,11386,59762,19921,-1884,,,85,33,384321
2006-06-27,disagg,combined,gold,nonrept,56572,21592,,34980,-1377,,,,,384321
2006-07-03,disagg,combined,gold,prod_merc,48087,122568,,-74481,-1040,,,22,23,392868
2006-07-03,disagg,combined,gold,swap,22720,69714,26352,-46994,-6779,,,9,12,392868
2006-07-03,disagg,combined,gold,m_money,92545,30452,50821,62093,3338,,,52,21,392868
2006-07-03,disagg,combined,gold,other_rept,32874,8677,63514,24197,4276,,,91,28,392868
2006-07-03,disagg,combined,gold,nonrept,55955,20771,,35184,204,,,,,392868
2006-07-11,disagg,combined,gold,prod_merc,54509,130618,,-76109,-1628,,,26,28,427008
2006-07-11,disagg,combined,gold,swap,21840,79217,28805,-57377,-10383,,,11,13,427008
2006-07-11,disagg,combined,gold,m_money,104213,27624,54922,76589,14496,,,59,17,427008
2006-07-11,disagg,combined,gold,other_rept,33165,11194,70944,21971,-2226,,,83,42,427008
2006-07-11,disagg,combined,gold,nonrept,58611,23685,,34926,-258,,,,,427008
2006-07-18,disagg,combined,gold,prod_merc,49863,131166,,-81303,-5194,,,27,28,443519
2006-07-18,disagg,combined,gold,swap,21681,83183,33352,-61502,-4125,,,9,14,443519
2006-07-18,disagg,combined,gold,m_money,107413,24296,62395,83117,6528,,,57,22,443519
2006-07-18,disagg,combined,gold,other_rept,31760,9442,74272,22318,347,,,84,38,443519
2006-07-18,disagg,combined,gold,nonrept,62782,25414,,37368,2442,,,,,443519
2006-07-25,disagg,combined,gold,prod_merc,52859,133290,,-80431,872,,,29,28,432413
2006-07-25,disagg,combined,gold,swap,22956,85604,28832,-62648,-1146,,,9,14,432413
2006-07-25,disagg,combined,gold,m_money,99087,22386,64810,76701,-6416,,,59,19,432413
2006-07-25,disagg,combined,gold,other_rept,29740,6244,73980,23496,1178,,,91,32,432413
2006-07-25,disagg,combined,gold,nonrept,60148,17266,,42882,5514,,,,,432413
2006-08-01,disagg,combined,gold,prod_merc,45161,135988,,-90827,-10396,,,20,24,394609
2006-08-01,disagg,combined,gold,swap,21250,73244,23643,-51994,10654,,,8,13,394609
2006-08-01,disagg,combined,gold,m_money,99330,24391,54618,74939,-1762,,,60,18,394609
2006-08-01,disagg,combined,gold,other_rept,32195,4758,57618,27437,3941,,,87,25,394609
2006-08-01,disagg,combined,gold,nonrept,60795,20350,,40445,-2437,,,,,394609
2006-08-08,disagg,combined,gold,prod_merc,46203,142240,,-96037,-5210,,,24,24,402899
2006-08-08,disagg,combined,gold,swap,20703,72061,24259,-51358,636,,,8,13,402899
2006-08-08,disagg,combined,gold,m_money,104600,24271,57785,80329,5390,,,65,16,402899
2006-08-08,disagg,combined,gold,other_rept,33123,6489,57914,26634,-803,,,85,33,402899
2006-08-08,disagg,combined,gold,nonrept,58312,17880,,40432,-13,,,,,402899
2006-08-15,disagg,combined,gold,prod_merc,46986,139790,,-92804,3233,,,24,25,402702
2006-08-15,disagg,combined,gold,swap,20326,66040,25523,-45714,5644,,,8,11,402702
2006-08-15,disagg,combined,gold,m_money,96966,24602,58658,72364,-7965,,,67,16,402702
2006-08-15,disagg,combined,gold,other_rept,33047,5839,56914,27208,574,,,80,40,402702
2006-08-15,disagg,combined,gold,nonrept,64282,25336,,38946,-1486,,,,,402702
2006-08-22,disagg,combined,gold,prod_merc,48070,138621,,-90551,2253,,,25,26,393425
2006-08-22,disagg,combined,gold,swap,22442,62922,25295,-40480,5234,,,10,11,393425
2006-08-22,disagg,combined,gold,m_money,90079,25742,58669,64337,-8027,,,64,15,393425
2006-08-22,disagg,combined,gold,other_rept,36185,6335,56284,29850,2642,,,92,35,393425
2006-08-22,disagg,combined,gold,nonrept,56402,19558,,36844,-2102,,,,,393425
2006-08-29,disagg,combined,gold,prod_merc,51201,136807,,-85606,4945,,,26,26,390836
2006-08-29,disagg,combined,gold,swap,27971,59944,25652,-31973,8507,,,9,10,390836
2006-08-29,disagg,combined,gold,m_money,83122,31194,57680,51928,-12409,,,58,20,390836
2006-08-29,disagg,combined,gold,other_rept,37506,5376,53976,32130,2280,,,88,33,390836
2006-08-29,disagg,combined,gold,nonrept,53728,20207,,33521,-3323,,,,,390836
2006-09-05,disagg,combined,gold,prod_merc,54238,144515,,-90277,-4671,,,25,26,420442
2006-09-05,disagg,combined,gold,swap,23579,67114,27645,-43535,-11562,,,10,12,420442
2006-09-05,disagg,combined,gold,m_money,90955,27781,60112,63174,11246,,,63,21,420442
2006-09-05,disagg,combined,gold,other_rept,38744,5960,62520,32784,654,,,89,39,420442
2006-09-05,disagg,combined,gold,nonrept,62650,24795,,37855,4334,,,,,420442
2006-09-12,disagg,combined,gold,prod_merc,53732,133417,,-79685,10592,,,25,25,403755
2006-09-12,disagg,combined,gold,swap,33464,59988,25866,-26524,17011,,,12,9,403755
2006-09-12,disagg,combined,gold,m_money,78251,31200,58265,47051,-16123,,,51,20,403755
2006-09-12,disagg,combined,gold,other_rept,35724,6633,64278,29091,-3693,,,91,35,403755
2006-09-12,disagg,combined,gold,nonrept,54175,24108,,30067,-7788,,,,,403755
2006-09-19,disagg,combined,gold,prod_merc,61312,135599,,-74287,5398,,,26,27,430959
2006-09-19,disagg,combined,gold,swap,36876,59838,28306,-22962,3562,,,11,9,430959
2006-09-19,disagg,combined,gold,m_money,71695,29518,70623,42177,-4874,,,50,23,430959
2006-09-19,disagg,combined,gold,other_rept,34606,7391,73555,27215,-1876,,,90,35,430959
2006-09-19,disagg,combined,gold,nonrept,53985,26128,,27857,-2210,,,,,430959
2006-09-26,disagg,combined,gold,prod_merc,63370,131160,,-67790,6497,,,24,25,406994
2006-09-26,disagg,combined,gold,swap,33963,59958,23567,-25995,-3033,,,12,9,406994
2006-09-26,disagg,combined,gold,m_money,70524,32558,63699,37966,-4211,,,43,29,406994
2006-09-26,disagg,combined,gold,other_rept,32245,3913,63880,28332,1117,,,84,24,406994
2006-09-26,disagg,combined,gold,nonrept,55746,28258,,27488,-369,,,,,406994
2006-10-03,disagg,combined,gold,prod_merc,66104,131341,,-65237,2553,,,23,24,413818
2006-10-03,disagg,combined,gold,swap,35907,60203,19725,-24296,1699,,,12,9,413818
2006-10-03,disagg,combined,gold,m_money,67587,33259,67668,34328,-3638,,,38,29,413818
2006-10-03,disagg,combined,gold,other_rept,34112,4380,66805,29732,1400,,,85,26,413818
2006-10-03,disagg,combined,gold,nonrept,55910,30437,,25473,-2015,,,,,413818
2006-10-10,disagg,combined,gold,prod_merc,72256,133538,,-61282,3955,,,23,25,430807
2006-10-10,disagg,combined,gold,swap,38669,56417,25338,-17748,6548,,,13,9,430807
2006-10-10,disagg,combined,gold,m_money,63659,38639,72050,25020,-9308,,,37,33,430807
2006-10-10,disagg,combined,gold,other_rept,35107,4364,74687,30743,1011,,,83,30,430807
2006-10-10,disagg,combined,gold,nonrept,49041,25775,,23266,-2207,,,,,430807
2006-10-17,disagg,combined,gold,prod_merc,71558,131844,,-60286,996,,,24,25,426984
2006-10-17,disagg,combined,gold,swap,33807,56992,27172,-23185,-5437,,,13,9,426984
2006-10-17,disagg,combined,gold,m_money,67141,40387,70706,26754,1734,,,43,33,426984
2006-10-17,disagg,combined,gold,other_rept,35555,4015,72860,31540,797,,,89,23,426984
2006-10-17,disagg,combined,gold,nonrept,48185,23009,,25176,1910,,,,,426984
2006-10-24,disagg,combined,gold,prod_merc,75101,131931,,-56830,3456,,,24,24,430766
2006-10-24,disagg,combined,gold,swap,29711,53996,29765,-24285,-1100,,,11,9,430766
2006-10-24,disagg,combined,gold,m_money,56144,40439,69581,15705,-11049,,,42,28,430766
2006-10-24,disagg,combined,gold,other_rept,42341,4550,78453,37791,6251,,,94,26,430766
2006-10-24,disagg,combined,gold,nonrept,49671,22051,,27620,2444,,,,,430766
2006-10-31,disagg,combined,gold,prod_merc,67289,129457,,-62168,-5338,,,26,25,427979
2006-10-31,disagg,combined,gold,swap,28865,59193,30754,-30328,-6043,,,10,10,427979
2006-10-31,disagg,combined,gold,m_money,62544,36234,62908,26310,10605,,,48,26,427979
2006-10-31,disagg,combined,gold,other_rept,38742,3509,80435,35233,-2558,,,92,24,427979
2006-10-31,disagg,combined,gold,nonrept,56441,25488,,30953,3333,,,,,427979
2006-11-07,disagg,combined,gold,prod_merc,69676,146344,,-76668,-14500,,,24,28,455640
2006-11-07,disagg,combined,gold,swap,24643,64715,33594,-40072,-9744,,,11,11,455640
2006-11-07,disagg,combined,gold,m_money,79413,30100,62223,49313,23003,,,52,24,455640
2006-11-07,disagg,combined,gold,other_rept,36424,6370,87798,30054,-5179,,,84,30,455640
2006-11-07,disagg,combined,gold,nonrept,61868,24496,,37372,6419,,,,,455640
2006-11-14,disagg,combined,gold,prod_merc,75827,158575,,-82748,-6080,,,24,26,476072
2006-11-14,disagg,combined,gold,swap,23369,66754,37660,-43385,-3313,,,10,12,476072
2006-11-14,disagg,combined,gold,m_money,81805,27808,64657,53997,4684,,,56,20,476072
2006-11-14,disagg,combined,gold,other_rept,40068,6318,90355,33750,3696,,,90,31,476072
2006-11-14,disagg,combined,gold,nonrept,62331,23944,,38387,1015,,,,,476072
2006-11-21,disagg,combined,gold,prod_merc,71887,153358,,-81471,1277,,,24,25,474432
2006-11-21,disagg,combined,gold,swap,24292,64583,39832,-40291,3094,,,11,10,474432
2006-11-21,disagg,combined,gold,m_money,79463,27921,66093,51542,-2455,,,58,20,474432
2006-11-21,disagg,combined,gold,other_rept,37885,6093,92937,31792,-1958,,,94,29,474432
2006-11-21,disagg,combined,gold,nonrept,62042,23616,,38426,39,,,,,474432
2006-11-28,disagg,combined,gold,prod_merc,62564,141730,,-79166,2305,,,20,22,423676
2006-11-28,disagg,combined,gold,swap,22103,66127,25387,-44024,-3733,,,9,10,423676
2006-11-28,disagg,combined,gold,m_money,77611,29840,64350,47771,-3771,,,56,16,423676
2006-11-28,disagg,combined,gold,other_rept,41021,7103,66750,33918,2126,,,71,28,423676
2006-11-28,disagg,combined,gold,nonrept,63889,22389,,41500,3074,,,,,423676
2006-12-05,disagg,combined,gold,prod_merc,56787,138379,,-81592,-2426,,,18,24,415169
2006-12-05,disagg,combined,gold,swap,22467,66259,26273,-43792,232,,,9,10,415169
2006-12-05,disagg,combined,gold,m_money,83017,28109,60357,54908,7137,,,59,16,415169
2006-12-05,disagg,combined,gold,other_rept,37523,7141,66564,30382,-3536,,,76,29,415169
2006-12-05,disagg,combined,gold,nonrept,62181,22088,,40093,-1407,,,,,415169
2006-12-12,disagg,combined,gold,prod_merc,56527,138696,,-82169,-577,,,18,23,411990
2006-12-12,disagg,combined,gold,swap,27470,64889,26131,-37419,6373,,,9,11,411990
2006-12-12,disagg,combined,gold,m_money,80167,28486,63196,51681,-3227,,,58,16,411990
2006-12-12,disagg,combined,gold,other_rept,37573,7306,64414,30267,-115,,,69,36,411990
2006-12-12,disagg,combined,gold,nonrept,56513,18872,,37641,-2452,,,,,411990
2006-12-19,disagg,combined,gold,prod_merc,62701,137892,,-75191,6978,,,20,22,416337
2006-12-19,disagg,combined,gold,swap,32664,61671,27451,-29007,8412,,,9,11,416337
2006-12-19,disagg,combined,gold,m_money,69911,29269,68727,40642,-11039,,,54,20,416337
2006-12-19,disagg,combined,gold,other_rept,36613,7969,64077,28644,-1623,,,78,29,416337
2006-12-19,disagg,combined,gold,nonrept,54193,19281,,34912,-2729,,,,,416337
2006-12-26,disagg,combined,gold,prod_merc,62269,139328,,-77059,-1868,,,19,24,415984
2006-12-26,disagg,combined,gold,swap,33014,62964,26511,-29950,-943,,,9,11,415984
2006-12-26,disagg,combined,gold,m_money,71209,32791,67978,38418,-2224,,,51,22,415984
2006-12-26,disagg,combined,gold,other_rept,37763,7877,62509,29886,1242,,,76,28,415984
2006-12-26,disagg,combined,gold,nonrept,54732,16027,,38705,3793,,,,,415984
2007-01-03,disagg,combined,gold,prod_merc,59523,142026,,-82503,-5444,,,19,24,434040
2007-01-03,disagg,combined,gold,swap,31482,65185,25567,-33703,-3753,,,10,10,434040
2007-01-03,disagg,combined,gold,m_money,79570,31903,73234,47667,9249,,,61,21,434040
2007-01-03,disagg,combined,gold,other_rept,39645,9061,66008,30584,698,,,75,34,434040
2007-01-03,disagg,combined,gold,nonrept,59010,21055,,37955,-750,,,,,434040
2007-01-09,disagg,combined,gold,prod_merc,61731,126344,,-64613,17890,,,22,25,426897
2007-01-09,disagg,combined,gold,swap,37098,56369,30865,-19271,14432,,,11,9,426897
2007-01-09,disagg,combined,gold,m_money,66123,40894,75334,25229,-22438,,,49,30,426897
2007-01-09,disagg,combined,gold,other_rept,35992,8708,64933,27284,-3300,,,76,37,426897
2007-01-09,disagg,combined,gold,nonrept,54821,23449,,31372,-6583,,,,,426897
2007-01-16,disagg,combined,gold,prod_merc,63169,129454,,-66285,-1672,,,25,25,421266
2007-01-16,disagg,combined,gold,swap,30226,61019,32054,-30793,-11522,,,11,10,421266
2007-01-16,disagg,combined,gold,m_money,69652,34377,72429,35275,10046,,,56,26,421266
2007-01-16,disagg,combined,gold,other_rept,38574,9086,62049,29488,2204,,,81,41,421266
2007-01-16,disagg,combined,gold,nonrept,53111,20797,,32314,942,,,,,421266
2007-01-23,disagg,combined,gold,prod_merc,68321,148973,,-80652,-14367,,,20,22,457878
2007-01-23,disagg,combined,gold,swap,26441,73518,32854,-47077,-16284,,,10,11,457878
2007-01-23,disagg,combined,gold,m_money,89090,29885,76059,59205,23930,,,63,22,457878
2007-01-23,disagg,combined,gold,other_rept,41420,10603,62889,30817,1329,,,84,36,457878
2007-01-23,disagg,combined,gold,nonrept,60805,23098,,37707,5393,,,,,457878
2007-01-30,disagg,combined,gold,prod_merc,55258,148386,,-93128,-12476,,,17,26,426462
2007-01-30,disagg,combined,gold,swap,26517,77936,23460,-51419,-4342,,,9,12,426462
2007-01-30,disagg,combined,gold,m_money,102396,29413,70219,72983,13778,,,74,14,426462
2007-01-30,disagg,combined,gold,other_rept,42746,9567,50660,33179,2362,,,76,37,426462
2007-01-30,disagg,combined,gold,nonrept,55206,16820,,38386,679,,,,,426462
2007-02-06,disagg,combined,gold,prod_merc,53021,158799,,-105778,-12650,,,18,27,449381
2007-02-06,disagg,combined,gold,swap,26714,78368,29153,-51654,-235,,,9,13,449381
2007-02-06,disagg,combined,gold,m_money,111899,27788,74039,84111,11128,,,74,17,449381
2007-02-06,disagg,combined,gold,other_rept,41638,9683,54650,31955,-1224,,,83,33,449381
2007-02-06,disagg,combined,gold,nonrept,58267,16901,,41366,2980,,,,,449381
2007-02-13,disagg,combined,gold,prod_merc,55706,171493,,-115787,-10009,,,18,29,482168
2007-02-13,disagg,combined,gold,swap,25859,87371,30120,-61512,-9858,,,9,13,482168
2007-02-13,disagg,combined,gold,m_money,124329,25039,78738,99290,15179,,,82,16,482168
2007-02-13,disagg,combined,gold,other_rept,43595,10570,59944,33025,1070,,,81,34,482168
2007-02-13,disagg,combined,gold,nonrept,63877,18893,,44984,3618,,,,,482168
2007-02-20,disagg,combined,gold,prod_merc,55735,175612,,-119877,-4090,,,18,28,494298
2007-02-20,disagg,combined,gold,swap,27507,87292,34982,-59785,1727,,,10,13,494298
2007-02-20,disagg,combined,gold,m_money,124341,26184,82412,98157,-1133,,,75,22,494298
2007-02-20,disagg,combined,gold,other_rept,44786,5190,61071,39596,6571,,,83,33,494298
2007-02-20,disagg,combined,gold,nonrept,63463,21553,,41910,-3074,,,,,494298
2007-02-27,disagg,combined,gold,prod_merc,63467,191610,,-128143,-8266,,,21,28,533271
2007-02-27,disagg,combined,gold,swap,26700,92566,37914,-65866,-6081,,,10,13,533271
2007-02-27,disagg,combined,gold,m_money,139549,23707,89258,115842,17685,,,91,12,533271
2007-02-27,disagg,combined,gold,other_rept,41524,9002,71218,32522,-7074,,,89,25,533271
2007-02-27,disagg,combined,gold,nonrept,63641,17996,,45645,3735,,,,,533271
2007-03-06,disagg,combined,gold,prod_merc,67506,166752,,-99246,28897,,,18,22,487871
2007-03-06,disagg,combined,gold,swap,33223,79172,38551,-45949,19917,,,13,10,487871
2007-03-06,disagg,combined,gold,m_money,90785,22161,83650,68624,-47218,,,69,22,487871
2007-03-06,disagg,combined,gold,other_rept,42914,5723,67609,37191,4669,,,93,26,487871
2007-03-06,disagg,combined,gold,nonrept,63632,24252,,39380,-6265,,,,,487871
2007-03-13,disagg,combined,gold,prod_merc,73613,169949,,-96336,2910,,,19,22,494886
2007-03-13,disagg,combined,gold,swap,33638,76957,44751,-43319,2630,,,11,12,494886
2007-03-13,disagg,combined,gold,m_money,86558,18569,88309,67989,-635,,,73,22,494886
2007-03-13,disagg,combined,gold,other_rept,40182,6682,67014,33500,-3691,,,94,29,494886
2007-03-13,disagg,combined,gold,nonrept,60820,22654,,38166,-1214,,,,,494886
2007-03-20,disagg,combined,gold,prod_merc,64307,159361,,-95054,1282,,,22,21,467591
2007-03-20,disagg,combined,gold,swap,35305,78028,40505,-42723,596,,,11,12,467591
2007-03-20,disagg,combined,gold,m_money,84751,18921,74498,65830,-2159,,,72,21,467591
2007-03-20,disagg,combined,gold,other_rept,38492,6968,67953,31524,-1976,,,89,32,467591
2007-03-20,disagg,combined,gold,nonrept,61780,21357,,40423,2257,,,,,467591
2007-03-27,disagg,combined,gold,prod_merc,57504,154666,,-97162,-2108,,,20,19,437206
2007-03-27,disagg,combined,gold,swap,32372,82112,31186,-49740,-7017,,,11,13,437206
2007-03-27,disagg,combined,gold,m_money,88578,19742,67573,68836,3006,,,73,22,437206
2007-03-27,disagg,combined,gold,other_rept,37323,6142,55290,31181,-343,,,77,23,437206
2007-03-27,disagg,combined,gold,nonrept,67380,20496,,46884,6461,,,,,437206
2007-04-03,disagg,combined,gold,prod_merc,62112,149146,,-87034,10128,,,16,21,430640
2007-04-03,disagg,combined,gold,swap,31909,83086,27230,-51177,-1437,,,10,12,430640
2007-04-03,disagg,combined,gold,m_money,92989,23202,70297,69787,951,,,76,20,430640
2007-04-03,disagg,combined,gold,other_rept,38242,9120,49940,29122,-2059,,,85,24,430640
2007-04-03,disagg,combined,gold,nonrept,57921,18620,,39301,-7583,,,,,430640
2007-04-10,disagg,combined,gold,prod_merc,60893,166798,,-105905,-18871,,,21,25,463667
2007-04-10,disagg,combined,gold,swap,30740,87186,30795,-56446,-5269,,,11,12,463667
2007-04-10,disagg,combined,gold,m_money,108209,23313,71328,84896,15109,,,83,19,463667
2007-04-10,disagg,combined,gold,other_rept,42436,9191,54566,33245,4123,,,91,26,463667
2007-04-10,disagg,combined,gold,nonrept,64701,20490,,44211,4910,,,,,463667
2007-04-17,disagg,combined,gold,prod_merc,57646,174533,,-116887,-10982,,,21,28,484425
2007-04-17,disagg,combined,gold,swap,30180,98098,30289,-67918,-11472,,,10,14,484425
2007-04-17,disagg,combined,gold,m_money,126468,18917,71520,107551,22655,,,82,21,484425
2007-04-17,disagg,combined,gold,other_rept,44557,10182,58508,34375,1130,,,92,29,484425
2007-04-17,disagg,combined,gold,nonrept,65256,22377,,42879,-1332,,,,,484425
2007-04-24,disagg,combined,gold,prod_merc,59749,181812,,-122063,-5176,,,20,26,504386
2007-04-24,disagg,combined,gold,swap,33311,94056,32754,-60745,7173,,,11,13,504386
2007-04-24,disagg,combined,gold,m_money,125890,21709,80751,104181,-3370,,,79,22,504386
2007-04-24,disagg,combined,gold,other_rept,43591,6918,60763,36673,2298,,,92,30,504386
2007-04-24,disagg,combined,gold,nonrept,67577,25623,,41954,-925,,,,,504386
2007-05-01,disagg,combined,gold,prod_merc,57725,182217,,-124492,-2429,,,20,25,482965
2007-05-01,disagg,combined,gold,swap,37018,89605,28122,-52587,8158,,,11,13,482965
2007-05-01,disagg,combined,gold,m_money,124836,19889,79369,104947,766,,,75,25,482965
2007-05-01,disagg,combined,gold,other_rept,40660,8057,52896,32603,-4070,,,91,23,482965
2007-05-01,disagg,combined,gold,nonrept,62337,22810,,39527,-2427,,,,,482965
2007-05-08,disagg,combined,gold,prod_merc,62808,189635,,-126827,-2335,,,21,25,505498
2007-05-08,disagg,combined,gold,swap,34764,93103,32300,-58339,-5752,,,11,13,505498
2007-05-08,disagg,combined,gold,m_money,131327,16251,83809,115076,10129,,,90,14,505498
2007-05-08,disagg,combined,gold,other_rept,39133,9194,56229,29939,-2664,,,82,31,505498
2007-05-08,disagg,combined,gold,nonrept,65127,24977,,40150,623,,,,,505498
2007-05-15,disagg,combined,gold,prod_merc,66863,168874,,-102011,24816,,,28,25,495194
2007-05-15,disagg,combined,gold,swap,37964,95003,32609,-57039,1300,,,11,13,495194
2007-05-15,disagg,combined,gold,m_money,108506,20297,90608,88209,-26867,,,76,22,495194
2007-05-15,disagg,combined,gold,other_rept,42289,8471,53614,33818,3879,,,93,35,495194
2007-05-15,disagg,combined,gold,nonrept,62742,25718,,37024,-3126,,,,,495194
2007-05-22,disagg,combined,gold,prod_merc,73853,164317,,-90464,11547,,,27,24,503146
2007-05-22,disagg,combined,gold,swap,44438,90054,26720,-45616,11423,,,10,13,503146
2007-05-22,disagg,combined,gold,m_money,95343,27385,100656,67958,-20251,,,67,29,503146
2007-05-22,disagg,combined,gold,other_rept,47005,10594,52203,36411,2593,,,94,36,503146
2007-05-22,disagg,combined,gold,nonrept,62928,31219,,31709,-5315,,,,,503146
2007-05-29,disagg,combined,gold,prod_merc,82272,163045,,-80773,9691,,,22,20,485884
2007-05-29,disagg,combined,gold,swap,46864,88469,18271,-41605,4011,,,10,14,485884
2007-05-29,disagg,combined,gold,m_money,91443,29139,99279,62304,-5654,,,64,29,485884
2007-05-29,disagg,combined,gold,other_rept,43179,9283,41228,33896,-2515,,,78,37,485884
2007-05-29,disagg,combined,gold,nonrept,63347,37170,,26177,-5532,,,,,485884
2007-06-05,disagg,combined,gold,prod_merc,64162,156770,,-92608,-11835,,,17,21,451514
2007-06-05,disagg,combined,gold,swap,44382,95397,18877,-51015,-9410,,,10,14,451514
2007-06-05,disagg,combined,gold,m_money,101396,25188,87744,76208,13904,,,75,22,451514
2007-06-05,disagg,combined,gold,other_rept,42242,6530,41331,35712,1816,,,79,30,451514
2007-06-05,disagg,combined,gold,nonrept,51380,19678,,31702,5525,,,,,451514
2007-06-12,disagg,combined,gold,prod_merc,84254,150422,,-66168,26440,,,19,18,481714
2007-06-12,disagg,combined,gold,swap,51723,86062,23152,-34339,16676,,,10,15,481714
2007-06-12,disagg,combined,gold,m_money,79076,39126,105462,39950,-36258,,,60,37,481714
2007-06-12,disagg,combined,gold,other_rept,44274,8830,44250,35444,-268,,,86,27,481714
2007-06-12,disagg,combined,gold,nonrept,49523,24410,,25113,-6589,,,,,481714
2007-06-19,disagg,combined,gold,prod_merc,83004,149727,,-66723,-555,,,20,20,481432
2007-06-19,disagg,combined,gold,swap,47510,95032,21873,-47522,-13183,,,9,16,481432
2007-06-19,disagg,combined,gold,m_money,78843,31482,110262,47361,7411,,,69,31,481432
2007-06-19,disagg,combined,gold,other_rept,44491,8507,43726,35984,540,,,88,23,481432
2007-06-19,disagg,combined,gold,nonrept,51723,20823,,30900,5787,,,,,481432
2007-06-26,disagg,combined,gold,prod_merc,84402,143489,,-59087,7636,,,22,21,477171
2007-06-26,disagg,combined,gold,swap,52049,76836,25120,-24787,22735,,,13,11,477171
2007-06-26,disagg,combined,gold,m_money,69708,48214,107912,21494,-25867,,,56,42,477171
2007-06-26,disagg,combined,gold,other_rept,46816,7880,43234,38936,2952,,,93,25,477171
2007-06-26,disagg,combined,gold,nonrept,47929,24486,,23443,-7457,,,,,477171
2007-07-03,disagg,combined,gold,prod_merc,70061,136688,,-66627,-7540,,,20,20,445464
2007-07-03,disagg,combined,gold,swap,48544,74358,23917,-25814,-1027,,,9,15,445464
2007-07-03,disagg,combined,gold,m_money,68208,36039,100074,32169,10675,,,64,34,445464
2007-07-03,disagg,combined,gold,other_rept,39725,7750,44768,31975,-6961,,,87,34,445464
2007-07-03,disagg,combined,gold,nonrept,50167,21870,,28297,4854,,,,,445464
2007-07-10,disagg,combined,gold,prod_merc,71637,143092,,-71455,-4828,,,20,24,460710
2007-07-10,disagg,combined,gold,swap,45292,80356,25414,-35064,-9250,,,9,14,460710
2007-07-10,disagg,combined,gold,m_money,71915,34289,102819,37626,5457,,,67,36,460710
2007-07-10,disagg,combined,gold,other_rept,40564,5985,45554,34579,2604,,,86,31,460710
2007-07-10,disagg,combined,gold,nonrept,57515,23201,,34314,6017,,,,,460710
2007-07-17,disagg,combined,gold,prod_merc,67324,142865,,-75541,-4086,,,22,25,458921
2007-07-17,disagg,combined,gold,swap,40923,79874,30946,-38951,-3887,,,9,15,458921
2007-07-17,disagg,combined,gold,m_money,72527,28782,98268,43745,6119,,,75,26,458921
2007-07-17,disagg,combined,gold,other_rept,41246,6302,47252,34944,365,,,85,36,458921
2007-07-17,disagg,combined,gold,nonrept,60436,24632,,35804,1490,,,,,458921
2007-07-24,disagg,combined,gold,prod_merc,60863,158866,,-98003,-22462,,,21,26,490884
2007-07-24,disagg,combined,gold,swap,29235,100613,32951,-71378,-32427,,,9,17,490884
2007-07-24,disagg,combined,gold,m_money,115624,17340,96703,98284,54539,,,83,19,490884
2007-07-24,disagg,combined,gold,other_rept,39545,10444,53106,29101,-5843,,,87,32,490884
2007-07-24,disagg,combined,gold,nonrept,62857,20861,,41996,6192,,,,,490884
2007-07-31,disagg,combined,gold,prod_merc,61552,138356,,-76804,21199,,,20,22,425305
2007-07-31,disagg,combined,gold,swap,35442,76052,28036,-40610,30768,,,10,14,425305
2007-07-31,disagg,combined,gold,m_money,77884,20906,88170,56978,-41306,,,68,23,425305
2007-07-31,disagg,combined,gold,other_rept,36541,10782,44615,25759,-3342,,,85,33,425305
2007-07-31,disagg,combined,gold,nonrept,53064,18387,,34677,-7319,,,,,425305
2007-08-07,disagg,combined,gold,prod_merc,57648,136314,,-78666,-1862,,,19,22,429149
2007-08-07,disagg,combined,gold,swap,34549,83339,27179,-48790,-8180,,,9,16,429149
2007-08-07,disagg,combined,gold,m_money,86561,20623,86767,65938,8960,,,75,22,429149
2007-08-07,disagg,combined,gold,other_rept,37917,11213,45403,26704,945,,,88,33,429149
2007-08-07,disagg,combined,gold,nonrept,53123,18309,,34814,137,,,,,429149
2007-08-14,disagg,combined,gold,prod_merc,57938,141354,,-83416,-4750,,,22,23,428617
2007-08-14,disagg,combined,gold,swap,32804,82688,28854,-49884,-1094,,,11,16,428617
2007-08-14,disagg,combined,gold,m_money,79860,11683,86862,68177,2239,,,72,16,428617
