date,basis,contract,category,long,short,spread,net,net_chg,pctile,z,traders_long,traders_short,oi
2006-09-05,combined,ust2y,lev_money,56958,196669,51236,-139711,34081,,,23,35,710275
2006-09-05,combined,ust2y,other_rept,64856,32346,6653,32510,-2018,,,13,10,710275
2006-09-05,combined,ust2y,nonrept,144569,104776,,39793,23235,,,,,710275
2006-09-12,combined,ust2y,dealer,74599,162402,19314,-87803,8012,,,19,20,692691
2006-09-12,combined,ust2y,asset_mgr,267323,94977,29699,172346,9123,,,35,19,692691
2006-09-12,combined,ust2y,lev_money,49949,219297,21679,-169348,-29637,,,21,33,692691
2006-09-12,combined,ust2y,other_rept,76148,31069,4481,45079,12569,,,16,11,692691
2006-09-12,combined,ust2y,nonrept,149500,109774,,39726,-67,,,,,692691
2006-09-19,combined,ust2y,dealer,66393,153683,18799,-87290,513,,,18,19,695688
2006-09-19,combined,ust2y,asset_mgr,273098,95529,26949,177569,5223,,,36,20,695688
2006-09-19,combined,ust2y,lev_money,62145,226213,21540,-164068,5280,,,21,34,695688
2006-09-19,combined,ust2y,other_rept,76127,35844,4824,40283,-4796,,,18,14,695688
2006-09-19,combined,ust2y,nonrept,145814,112308,,33506,-6220,,,,,695688
2006-09-26,combined,ust2y,dealer,72789,123317,20047,-50528,36762,,,24,19,693104
2006-09-26,combined,ust2y,asset_mgr,259922,130339,31124,129583,-47986,,,33,22,693104
2006-09-26,combined,ust2y,lev_money,79209,218983,17168,-139774,24294,,,23,32,693104
2006-09-26,combined,ust2y,other_rept,57040,30077,6769,26963,-13320,,,18,12,693104
2006-09-26,combined,ust2y,nonrept,149036,115280,,33756,250,,,,,693104
2006-10-03,combined,ust2y,dealer,82739,131431,17987,-48692,1836,,,24,17,711388
2006-10-03,combined,ust2y,asset_mgr,275637,131793,34512,143844,14261,,,35,21,711388
2006-10-03,combined,ust2y,lev_money,85458,222726,16565,-137268,2506,,,28,29,711388
2006-10-03,combined,ust2y,other_rept,39603,44683,6062,-5080,-32043,,,19,11,711388
2006-10-03,combined,ust2y,nonrept,152826,105629,,47197,13441,,,,,711388
2006-10-10,combined,ust2y,dealer,84336,120083,14829,-35747,12945,,,23,14,692002
2006-10-10,combined,ust2y,asset_mgr,273258,131155,38008,142103,-1741,,,35,21,692002
2006-10-10,combined,ust2y,lev_money,80429,217171,16151,-136742,526,,,28,27,692002
2006-10-10,combined,ust2y,other_rept,33936,48556,3579,-14620,-9540,,,15,13,692002
2006-10-10,combined,ust2y,nonrept,147475,102469,,45006,-2191,,,,,692002
2006-10-17,combined,ust2y,dealer,82379,105523,19991,-23144,12603,,,20,14,702761
2006-10-17,combined,ust2y,asset_mgr,271274,138723,31883,132551,-9552,,,36,22,702761
2006-10-17,combined,ust2y,lev_money,84613,220973,16511,-136360,382,,,26,29,702761
2006-10-17,combined,ust2y,other_rept,34824,45726,3437,-10902,3718,,,14,13,702761
2006-10-17,combined,ust2y,nonrept,157849,119993,,37856,-7150,,,,,702761
2006-10-24,combined,ust2y,dealer,80297,93204,13712,-12907,10237,,,20,14,699374
2006-10-24,combined,ust2y,asset_mgr,259071,141132,40342,117939,-14612,,,34,23,699374
2006-10-24,combined,ust2y,lev_money,82825,212180,18394,-129355,7005,,,23,33,699374
2006-10-24,combined,ust2y,other_rept,53649,44273,3869,9376,20278,,,13,14,699374
2006-10-24,combined,ust2y,nonrept,147216,132269,,14947,-22909,,,,,699374
2006-10-31,combined,ust2y,dealer,72831,107809,19562,-34978,-22071,,,17,18,683452
2006-10-31,combined,ust2y,asset_mgr,260647,138275,38296,122372,4433,,,32,24,683452
2006-10-31,combined,ust2y,lev_money,78095,202395,13441,-124300,5055,,,24,27,683452
2006-10-31,combined,ust2y,other_rept,53208,42876,2725,10332,956,,,13,13,683452
2006-10-31,combined,ust2y,nonrept,144647,118073,,26574,11627,,,,,683452
2006-11-07,combined,ust2y,dealer,78998,99636,21734,-20638,14340,,,16,12,672534
2006-11-07,combined,ust2y,asset_mgr,256942,142450,37829,114492,-7880,,,32,26,672534
2006-11-07,combined,ust2y,lev_money,76263,186111,13320,-109848,14452,,,24,26,672534
2006-11-07,combined,ust2y,other_rept,46195,47039,2078,-844,-11176,,,14,13,672534
2006-11-07,combined,ust2y,nonrept,139174,122337,,16837,-9737,,,,,672534
2006-11-14,combined,ust2y,dealer,92326,99184,30915,-6858,13780,,,18,15,685964
2006-11-14,combined,ust2y,asset_mgr,255271,138834,41903,116437,1945,,,32,27,685964
2006-11-14,combined,ust2y,lev_money,76352,185947,15723,-109595,253,,,23,28,685964
2006-11-14,combined,ust2y,other_rept,29706,43421,4772,-13715,-12871,,,14,15,685964
2006-11-14,combined,ust2y,nonrept,138996,125264,,13732,-3105,,,,,685964
2006-11-21,combined,ust2y,dealer,109377,129426,41402,-20049,-13191,,,23,12,738086
2006-11-21,combined,ust2y,asset_mgr,259371,107482,45565,151889,35452,,,31,25,738086
2006-11-21,combined,ust2y,lev_money,58137,207879,44255,-149742,-40147,,,17,31,738086
2006-11-21,combined,ust2y,other_rept,43687,38830,3635,4857,18572,,,17,11,738086
2006-11-21,combined,ust2y,nonrept,132657,119612,,13045,-687,,,,,738086
2006-11-28,combined,ust2y,dealer,102024,149608,45714,-47584,-27535,,,22,15,798959
2006-11-28,combined,ust2y,asset_mgr,252473,102591,54119,149882,-2007,,,32,24,798959
2006-11-28,combined,ust2y,lev_money,62592,208451,64941,-145859,3883,,,18,30,798959
2006-11-28,combined,ust2y,other_rept,38684,39434,2066,-750,-5607,,,14,12,798959
2006-11-28,combined,ust2y,nonrept,176348,132036,,44312,31267,,,,,798959
2006-12-05,combined,ust2y,dealer,91113,159507,32715,-68394,-20810,,,16,17,765852
2006-12-05,combined,ust2y,asset_mgr,261687,108193,34346,153494,3612,,,31,23,765852
2006-12-05,combined,ust2y,lev_money,86870,197380,41136,-110510,35349,,,25,31,765852
2006-12-05,combined,ust2y,other_rept,40674,43029,1610,-2355,-1605,,,16,13,765852
2006-12-05,combined,ust2y,nonrept,175700,147937,,27763,-16549,,,,,765852
2006-12-12,combined,ust2y,dealer,93126,148790,26233,-55664,12730,,,17,19,716088
2006-12-12,combined,ust2y,asset_mgr,265670,114701,32122,150969,-2525,,,31,23,716088
2006-12-12,combined,ust2y,lev_money,78292,202658,24436,-124366,-13856,,,22,33,716088
2006-12-12,combined,ust2y,other_rept,53175,53531,1779,-356,1999,,,18,13,716088
2006-12-12,combined,ust2y,nonrept,141255,111838,,29417,1654,,,,,716088
2006-12-19,combined,ust2y,dealer,106926,139436,25356,-32510,23154,,,21,16,716001
2006-12-19,combined,ust2y,asset_mgr,273360,117710,30485,155650,4681,,,34,21,716001
2006-12-19,combined,ust2y,lev_money,63247,203819,15491,-140572,-16206,,,15,30,716001
